material	status	case	evaluation	branch	supported	eps	relerr	cosine	kp_norm	fd_norm	mismatch	note
CSLMaterial	CSL mat. status	elastic_loading	actual	elastic	1	1.0000000000e-08	2.0785824499e-13	1.0000000000e+00	2.9062628299e+10	2.9062628299e+10	6.0409069131e-03	ok
CSLMaterial	CSL mat. status	elastic_loading	actual	secant	1	1.0000000000e-08	2.0785824499e-13	1.0000000000e+00	2.9062628299e+10	2.9062628299e+10	6.0409069131e-03	ok
CSLMaterial	CSL mat. status	elastic_loading	actual	tangent	1	1.0000000000e-08	2.0785824499e-13	1.0000000000e+00	2.9062628299e+10	2.9062628299e+10	6.0409069131e-03	ok
CSLMaterial	CSL mat. status	elastic_loading	actual	archived_csl_damage_tangent	1	1.0000000000e-08	2.0785824499e-13	1.0000000000e+00	2.9062628299e+10	2.9062628299e+10	6.0409069131e-03	ok
CSLMaterial	CSL mat. status	elastic_loading	actual	consistent	1	1.0000000000e-08	1.7940838210e-13	1.0000000000e+00	2.9062628299e+10	2.9062628299e+10	5.2140791226e-03	ok
CSLMaterial	CSL mat. status	damage_growth	actual	elastic	1	1.0000000000e-08	4.6246552911e+00	-9.9633231843e-01	2.9062628299e+10	8.0116823238e+09	3.7051269050e+10	ok
CSLMaterial	CSL mat. status	damage_growth	actual	secant	1	1.0000000000e-08	3.4089098751e+00	-9.9633231843e-01	1.9320199565e+10	8.0116823238e+09	2.7311102989e+10	ok
CSLMaterial	CSL mat. status	damage_growth	actual	tangent	1	1.0000000000e-08	3.4089098751e+00	-9.9633231843e-01	1.9320199565e+10	8.0116823238e+09	2.7311102989e+10	ok
CSLMaterial	CSL mat. status	damage_growth	actual	archived_csl_damage_tangent	1	1.0000000000e-08	2.3769400931e-05	9.9999999997e-01	8.0118620659e+09	8.0116823238e+09	1.9043288928e+05	ok
CSLMaterial	CSL mat. status	damage_growth	actual	consistent	1	1.0000000000e-08	3.0108885587e-05	9.9999999955e-01	8.0116853191e+09	8.0116823238e+09	2.4122282645e+05	ok
CSLMaterial	CSL mat. status	damage_growth_frozen	frozen	elastic	1	1.0000000000e-08	6.1199647149e-13	1.0000000000e+00	2.9062628299e+10	2.9062628299e+10	1.7786225971e-02	ok
CSLMaterial	CSL mat. status	damage_growth_frozen	frozen	secant	1	1.0000000000e-08	6.1199647149e-13	1.0000000000e+00	2.9062628299e+10	2.9062628299e+10	1.7786225971e-02	ok
CSLMaterial	CSL mat. status	damage_growth_frozen	frozen	tangent	1	1.0000000000e-08	6.1199647149e-13	1.0000000000e+00	2.9062628299e+10	2.9062628299e+10	1.7786225971e-02	ok
CSLMaterial	CSL mat. status	damage_growth_frozen	frozen	archived_csl_damage_tangent	1	1.0000000000e-08	6.1199647149e-13	1.0000000000e+00	2.9062628299e+10	2.9062628299e+10	1.7786225971e-02	ok
CSLMaterial	CSL mat. status	damage_growth_frozen	frozen	consistent	0	nan	nan	nan	nan	nan	nan	not_applicable_to_frozen_evaluation
CSLMaterial	CSL mat. status	damaged_unloading	actual	elastic	1	1.0000000000e-08	1.3036110831e+00	1.0000000000e+00	2.9062628299e+10	1.2616117587e+10	1.6446510712e+10	ok
CSLMaterial	CSL mat. status	damaged_unloading	actual	secant	1	1.0000000000e-08	7.7740040802e-13	1.0000000000e+00	1.2616117587e+10	1.2616117587e+10	9.8077749597e-03	ok
CSLMaterial	CSL mat. status	damaged_unloading	actual	tangent	1	1.0000000000e-08	7.7740040802e-13	1.0000000000e+00	1.2616117587e+10	1.2616117587e+10	9.8077749597e-03	ok
CSLMaterial	CSL mat. status	damaged_unloading	actual	archived_csl_damage_tangent	1	1.0000000000e-08	7.7740040802e-13	1.0000000000e+00	1.2616117587e+10	1.2616117587e+10	9.8077749597e-03	ok
CSLMaterial	CSL mat. status	damaged_unloading	actual	consistent	1	1.0000000000e-08	4.4096983053e-13	1.0000000000e+00	1.2616117587e+10	1.2616117587e+10	5.5633272342e-03	ok
CSLMaterial	CSL mat. status	damaged_unloading_frozen	frozen	elastic	1	1.0000000000e-08	1.3036110831e+00	1.0000000000e+00	2.9062628299e+10	1.2616117587e+10	1.6446510712e+10	ok
CSLMaterial	CSL mat. status	damaged_unloading_frozen	frozen	secant	1	1.0000000000e-08	7.7740040802e-13	1.0000000000e+00	1.2616117587e+10	1.2616117587e+10	9.8077749597e-03	ok
CSLMaterial	CSL mat. status	damaged_unloading_frozen	frozen	tangent	1	1.0000000000e-08	7.7740040802e-13	1.0000000000e+00	1.2616117587e+10	1.2616117587e+10	9.8077749597e-03	ok
CSLMaterial	CSL mat. status	damaged_unloading_frozen	frozen	archived_csl_damage_tangent	1	1.0000000000e-08	7.7740040802e-13	1.0000000000e+00	1.2616117587e+10	1.2616117587e+10	9.8077749597e-03	ok
CSLMaterial	CSL mat. status	damaged_unloading_frozen	frozen	consistent	0	nan	nan	nan	nan	nan	nan	not_applicable_to_frozen_evaluation
LDPMMaterial	LDPM mat. status	elastic_loading	actual	elastic	1	1.0000000000e-08	1.8679571658e+02	9.9995702834e-01	3.0368108826e+10	1.6170824535e+08	3.0206407566e+10	ok
LDPMMaterial	LDPM mat. status	elastic_loading	actual	secant	1	1.0000000000e-08	1.8679571658e+02	9.9995702834e-01	3.0368108826e+10	1.6170824535e+08	3.0206407566e+10	ok
LDPMMaterial	LDPM mat. status	elastic_loading	actual	consistent	1	1.0000000000e-08	2.3232871979e-06	1.0000000000e+00	1.6170791672e+08	1.6170824535e+08	3.7569469620e+02	ok
LDPMMaterial	LDPM mat. status	elastic_loading	actual	tangent	0	nan	nan	nan	nan	nan	nan	unsupported
LDPMMaterial	LDPM mat. status	damage_growth	actual	elastic	1	1.0000000000e-08	8.7551904195e-12	1.0000000000e+00	3.0368108826e+10	3.0368108825e+10	2.6587857545e-01	ok
LDPMMaterial	LDPM mat. status	damage_growth	actual	secant	1	1.0000000000e-08	8.7551904195e-12	1.0000000000e+00	3.0368108826e+10	3.0368108825e+10	2.6587857545e-01	ok
LDPMMaterial	LDPM mat. status	damage_growth	actual	consistent	1	1.0000000000e-08	8.7563243255e-12	1.0000000000e+00	3.0368108826e+10	3.0368108825e+10	2.6591301003e-01	ok
LDPMMaterial	LDPM mat. status	damage_growth	actual	tangent	0	nan	nan	nan	nan	nan	nan	unsupported
LDPMMaterial	LDPM mat. status	damage_growth_frozen	frozen	elastic	1	1.0000000000e-08	8.7551904195e-12	1.0000000000e+00	3.0368108826e+10	3.0368108825e+10	2.6587857545e-01	ok
LDPMMaterial	LDPM mat. status	damage_growth_frozen	frozen	secant	1	1.0000000000e-08	8.7551904195e-12	1.0000000000e+00	3.0368108826e+10	3.0368108825e+10	2.6587857545e-01	ok
LDPMMaterial	LDPM mat. status	damage_growth_frozen	frozen	consistent	0	nan	nan	nan	nan	nan	nan	not_applicable_to_frozen_evaluation
LDPMMaterial	LDPM mat. status	damage_growth_frozen	frozen	tangent	0	nan	nan	nan	nan	nan	nan	unsupported
LDPMMaterial	LDPM mat. status	damaged_unloading	actual	elastic	1	1.0000000000e-08	9.6571758369e-12	1.0000000000e+00	3.0368108826e+10	3.0368108826e+10	2.9327016676e-01	ok
LDPMMaterial	LDPM mat. status	damaged_unloading	actual	secant	1	1.0000000000e-08	9.6571758369e-12	1.0000000000e+00	3.0368108826e+10	3.0368108826e+10	2.9327016676e-01	ok
LDPMMaterial	LDPM mat. status	damaged_unloading	actual	consistent	1	1.0000000000e-08	2.2240227153e-12	1.0000000000e+00	3.0368108826e+10	3.0368108826e+10	6.7539363850e-02	ok
LDPMMaterial	LDPM mat. status	damaged_unloading	actual	tangent	0	nan	nan	nan	nan	nan	nan	unsupported
LDPMMaterial	LDPM mat. status	damaged_unloading_frozen	frozen	elastic	1	1.0000000000e-08	2.6308606359e-12	1.0000000000e+00	3.0368108826e+10	3.0368108825e+10	7.9894262095e-02	ok
LDPMMaterial	LDPM mat. status	damaged_unloading_frozen	frozen	secant	1	1.0000000000e-08	2.6308606359e-12	1.0000000000e+00	3.0368108826e+10	3.0368108825e+10	7.9894262095e-02	ok
LDPMMaterial	LDPM mat. status	damaged_unloading_frozen	frozen	consistent	0	nan	nan	nan	nan	nan	nan	not_applicable_to_frozen_evaluation
LDPMMaterial	LDPM mat. status	damaged_unloading_frozen	frozen	tangent	0	nan	nan	nan	nan	nan	nan	unsupported
